Reference_Year,Local_Government,Waste_Resource_Recovery_Group_WRRG,Council_Link
2019-2020,Moyne Shire Council,Barwon South West WRRG,https://www.moyne.vic.gov.au/Your-Property/Waste-and-recycling
2019-2020,Murrindindi Shire Council,Goulburn Valley WRRG,https://www.murrindindi.vic.gov.au/Your-Property/Garbage-and-Recycling
2019-2020,Nillumbik Shire Council,Metropolitan WRRG,https://www.nillumbik.vic.gov.au/Residents/Waste-and-recycling
2019-2020,Northern Grampians Shire Council,Grampians Central West WRRG,https://www.ngshire.vic.gov.au/Council-Services/Bins-recycling-and-waste
2019-2020,Port Phillip City Council,Metropolitan WRRG,https://www.portphillip.vic.gov.au/council-services/waste-recycling-and-rubbish
2019-2020,Pyrenees Shire Council,Grampians Central West WRRG,https://www.pyrenees.vic.gov.au/Residents/Waste-and-Recycling
2019-2020,Queenscliffe Borough Council,Barwon South West WRRG,https://www.queenscliffe.vic.gov.au/Residents/Waste-and-environment/Waste-and-recycling
2019-2020,South Gippsland Shire Council,Gippsland WRRG,https://www.southgippsland.vic.gov.au/wasteandrecycling
2019-2020,Southern Grampians Shire Council,Barwon South West WRRG,https://www.sthgrampians.vic.gov.au/Page/Page.aspx?Page_Id=2525
2019-2020,Stonnington City Council,Metropolitan WRRG,https://www.stonnington.vic.gov.au/Services/Waste-and-recycling
2019-2020,Strathbogie Shire Council,Goulburn Valley WRRG,https://www.strathbogie.vic.gov.au/services/rubbish/
2019-2020,Surf Coast Shire Council,Barwon South West WRRG,https://www.surfcoast.vic.gov.au/Property/Waste-and-recycling
2019-2020,Swan Hill Rural City Council,Loddon Mallee WRRG,https://www.swanhill.vic.gov.au/environment-and-waste/waste-and-recycling/
2019-2020,Towong Shire Council,North East WRRG,https://www.towong.vic.gov.au/2-residents/waste-and-recycling
2019-2020,Wangaratta Rural City Council,North East WRRG,https://www.wangaratta.vic.gov.au/Services/Waste-Recycling
2019-2020,Warrnambool City Council,Barwon South West WRRG,https://www.warrnambool.vic.gov.au/waste-management
2019-2020,Wellington Shire Council,Gippsland WRRG,https://www.wellington.vic.gov.au/environment/waste-management
2019-2020,West Wimmera Shire Council,Grampians Central West WRRG,https://www.westwimmera.vic.gov.au/Residents/Waste-management
2019-2020,Whitehorse City Council,Metropolitan WRRG,https://www.whitehorse.vic.gov.au/waste-environment/rubbish-recycling
2019-2020,Whittlesea City Council,Metropolitan WRRG,https://www.whittlesea.vic.gov.au/waste-environment/
2019-2020,Wodonga City Council,North East WRRG,https://www.wodonga.vic.gov.au/Services/Recycling-and-Waste
2019-2020,Wyndham City Council,Metropolitan WRRG,https://www.wyndham.vic.gov.au/services/about-waste-and-recycling
2019-2020,Yarra City Council,Metropolitan WRRG,https://www.yarracity.vic.gov.au/services/recycling-and-rubbish
2019-2020,Yarra Ranges Shire Council,Metropolitan WRRG,https://www.yarraranges.vic.gov.au/Environment/Waste
2019-2020,Yarriambiack Shire Council,Grampians Central West WRRG,https://www.yarriambiack.vic.gov.au/Council-Services/Waste
